"Record ID",Date,Country,City,"Temperature (Â°C)","Humidity (%)","Precipitation (mm)","Air Quality Index (AQI)","Extreme Weather Events","Climate Classification",Climate_Zone,Biome_Type,Heat_Index,Wind_Speed,Wind_Direction,Season,Population_Exposure,Economic_Impact_Estimate,Infrastructure_Vulnerability_Score
aus_1,1/1/2024,Australia,Sydney,20.3,41,127.1,207,None,Koeppen-B,Arid,Wetland,22.4,18.3,W,Winter,8549476,34039796.05,9
aus_2,1/2/2024,Australia,Sydney,26,85,107.9,27,Heatwave,Koeppen-C,Arid,Tundra,30.2,8.7,NE,Winter,2018634,10224925.56,4
aus_3,1/3/2024,Australia,Sydney,35.8,86,35.4,428,None,Koeppen-C,Arid,Grassland,40.1,6.8,NE,Winter,8331073,59893962.85,10
aus_4,1/4/2024,Australia,Sydney,30.1,27,14.6,257,None,Koeppen-D,Arid,Wetland,31.5,22.3,SE,Winter,4020583,54503065.88,6
aus_5,1/5/2024,Australia,Sydney,-6.3,66,196.9,368,None,Koeppen-A,Arid,Grassland,-3,23.9,SW,Winter,6626268,4475365.29,10
aus_6,1/6/2024,Australia,Sydney,28.8,58,162.1,286,None,Koeppen-B,Arid,Grassland,31.7,28.5,SW,Winter,1419035,42316729.63,9
aus_7,1/7/2024,Australia,Sydney,4.1,90,131.2,233,None,Koeppen-A,Arid,Forest,8.6,6.7,NE,Winter,5152513,14713102.77,10
aus_8,1/8/2024,Australia,Sydney,16.8,17,4.8,179,None,Koeppen-D,Arid,Forest,17.7,15.5,NW,Winter,5765640,18678232.12,8
aus_9,1/9/2024,Australia,Sydney,-8.8,16,42.8,94,None,Koeppen-C,Arid,Tundra,-8,10.7,NE,Winter,782321,57893079.98,4
aus_10,1/10/2024,Australia,Sydney,17.9,68,155.5,84,None,Koeppen-B,Arid,Tundra,21.3,29.6,SE,Winter,8166878,50620627.04,10
aus_11,1/11/2024,Australia,Sydney,7.8,54,130.3,176,Drought,Koeppen-D,Arid,Wetland,10.5,18.4,SW,Winter,5169657,42652449.21,6
aus_12,1/12/2024,Australia,Sydney,8.3,43,161.2,468,None,Koeppen-B,Arid,Wetland,10.5,11.2,W,Winter,3744674,41089658.84,10
aus_13,1/13/2024,Australia,Sydney,27.4,76,138.1,425,Heatwave,Koeppen-A,Arid,Desert,31.2,38.8,SE,Winter,395957,990159.56,10
aus_14,1/14/2024,Australia,Sydney,42,13,69.6,72,Hurricane,Koeppen-C,Arid,Tundra,42.6,13,NE,Winter,8008405,79462386.12,7
aus_15,1/15/2024,Australia,Sydney,26.2,80,14.9,337,None,Koeppen-D,Arid,Grassland,30.2,3.6,SE,Winter,2527582,69059845.87,4
aus_16,1/16/2024,Australia,Sydney,40.2,86,193.6,325,None,Koeppen-B,Arid,Desert,44.5,20.1,SW,Winter,1074374,24095840.27,2
aus_17,1/17/2024,Australia,Sydney,3.4,33,106.3,330,None,Koeppen-A,Arid,Wetland,5,3.5,E,Winter,8760934,6936375.94,7
aus_18,1/18/2024,Australia,Sydney,-1.6,87,125.6,133,None,Koeppen-A,Arid,Tundra,2.8,29.8,E,Winter,9805679,93258287.09,1
aus_19,1/19/2024,Australia,Sydney,14.4,61,4.4,421,None,Koeppen-C,Arid,Tundra,17.4,10.6,W,Winter,9118586,74910223.28,5
aus_20,1/20/2024,Australia,Sydney,2.9,38,46.4,17,None,Koeppen-B,Arid,Tundra,4.8,12.1,S,Winter,6078305,86258700.7,4
aus_21,1/21/2024,Australia,Sydney,34.5,10,169.2,261,Hurricane,Koeppen-D,Arid,Desert,35,29.7,NE,Winter,9384012,10484988.28,9
aus_22,1/22/2024,Australia,Sydney,31.6,36,160,165,None,Koeppen-B,Arid,Forest,33.4,13.5,N,Winter,3337632,22177600.83,1
aus_23,1/23/2024,Australia,Sydney,31.9,16,107.7,100,None,Koeppen-D,Arid,Tundra,32.7,18.8,E,Winter,9084583,7763125.28,10
aus_24,1/24/2024,Australia,Sydney,27.3,16,41.8,488,Drought,Koeppen-B,Arid,Grassland,28.1,4.9,W,Winter,5845686,18106377.52,9
aus_25,1/25/2024,Australia,Sydney,-8.5,45,4.6,194,None,Koeppen-B,Arid,Wetland,-6.2,24.9,SE,Winter,5122438,58152703.33,3
aus_26,1/26/2024,Australia,Sydney,14.2,38,62.7,228,None,Koeppen-C,Arid,Forest,16.1,36.4,S,Winter,7592731,43580779.93,9
aus_27,1/27/2024,Australia,Sydney,-1.2,23,33.4,90,Heatwave,Koeppen-A,Arid,Grassland,0,35.1,N,Winter,9140202,13235483.14,8
aus_28,1/28/2024,Australia,Sydney,44.3,23,187.3,318,None,Koeppen-A,Arid,Wetland,45.4,32.4,N,Winter,1364595,25344068.29,10
aus_29,1/29/2024,Australia,Sydney,43.5,77,173.3,268,None,Koeppen-D,Arid,Forest,47.4,31.1,SW,Winter,8211695,60161919.19,2
aus_30,1/30/2024,Australia,Sydney,14.2,42,111.7,466,None,Koeppen-A,Arid,Desert,16.3,37,SE,Winter,9719833,69354995.1,7
aus_31,1/31/2024,Australia,Sydney,13,38,147,10,None,Koeppen-B,Arid,Wetland,14.9,17.6,SW,Winter,6309454,3209658.24,3
aus_32,2/1/2024,Australia,Sydney,0.3,14,147.6,376,None,Koeppen-D,Arid,Grassland,1,23.6,SW,Winter,880354,99541149.17,4
aus_33,2/2/2024,Australia,Sydney,35.4,55,91.7,353,None,Koeppen-A,Arid,Grassland,38.1,12.8,NE,Winter,3955892,88145570.39,1
aus_34,2/3/2024,Australia,Sydney,29.2,80,85.6,470,None,Koeppen-A,Arid,Forest,33.2,20.9,NW,Winter,2496335,8405964.59,5
aus_35,2/4/2024,Australia,Sydney,3.1,34,53.2,140,Drought,Koeppen-A,Arid,Forest,4.8,33.5,NW,Winter,4529818,39245751.69,10
aus_36,2/5/2024,Australia,Sydney,19.6,65,85.2,217,None,Koeppen-A,Arid,Desert,22.9,28.4,SW,Winter,3732095,91089052.56,4
aus_37,2/6/2024,Australia,Sydney,2.1,22,149.4,244,None,Koeppen-B,Arid,Tundra,3.2,20.1,NW,Winter,5098416,85033134.7,5
aus_38,2/7/2024,Australia,Sydney,21,71,60.5,416,None,Koeppen-C,Arid,Grassland,24.6,6.9,S,Winter,7271468,2331321.87,9
aus_39,2/8/2024,Australia,Sydney,20.7,17,190.1,247,None,Koeppen-D,Arid,Wetland,21.6,2.7,E,Winter,2241696,42207305.26,2
aus_40,2/9/2024,Australia,Sydney,29.2,31,4,454,None,Koeppen-D,Arid,Grassland,30.8,7.7,NW,Winter,1746732,91227661.53,7
aus_41,2/10/2024,Australia,Sydney,15.6,87,197.9,284,None,Koeppen-A,Arid,Tundra,19.9,6.5,SE,Winter,1333376,9385011.12,9
aus_42,2/11/2024,Australia,Sydney,1.3,58,170.5,274,None,Koeppen-A,Arid,Wetland,4.2,4.7,NW,Winter,4879014,77474732.86,9
aus_43,2/12/2024,Australia,Sydney,6.9,83,156.1,226,None,Koeppen-B,Arid,Desert,11.1,24.4,SE,Winter,3756683,72783805.73,4
aus_44,2/13/2024,Australia,Sydney,5,91,183.2,297,None,Koeppen-C,Arid,Forest,9.6,38.1,SW,Winter,2200905,81873621.75,2
aus_45,2/14/2024,Australia,Sydney,12.2,97,87.5,12,None,Koeppen-A,Arid,Tundra,17.1,16.4,SW,Winter,8503650,38964645.6,4
aus_46,2/15/2024,Australia,Sydney,40.1,25,55,135,None,Koeppen-B,Arid,Tundra,41.4,8.1,E,Winter,9424730,39313405.97,9
aus_47,2/16/2024,Australia,Sydney,4.1,98,171.7,269,Hurricane,Koeppen-C,Arid,Grassland,9,3.7,SW,Winter,6471648,5923328.82,9
aus_48,2/17/2024,Australia,Sydney,8.3,90,173.5,211,Drought,Koeppen-B,Arid,Tundra,12.8,0.8,E,Winter,9370044,47079864.4,8
aus_49,2/18/2024,Australia,Sydney,33.9,91,186.7,355,None,Koeppen-A,Arid,Wetland,38.4,27,S,Winter,3129113,59596783.66,3
aus_50,2/19/2024,Australia,Sydney,42.8,80,62.8,43,None,Koeppen-B,Arid,Forest,46.8,22.3,S,Winter,5238758,41700555.83,10
aus_51,2/20/2024,Australia,Sydney,6.4,80,102.8,24,None,Koeppen-B,Arid,Desert,10.4,9.1,S,Winter,4325788,57727574.65,9
aus_52,2/21/2024,Australia,Sydney,27.5,19,42.9,397,Flood,Koeppen-A,Arid,Forest,28.4,19.6,SE,Winter,500704,37590029.85,10
aus_53,2/22/2024,Australia,Sydney,2.9,73,101.6,312,None,Koeppen-C,Arid,Wetland,6.6,37.4,SE,Winter,1694879,47676299.67,7
aus_54,2/23/2024,Australia,Sydney,18.5,85,41.5,459,None,Koeppen-A,Arid,Desert,22.8,19,NW,Winter,6499939,68806346.6,9
aus_55,2/24/2024,Australia,Sydney,0.5,42,9.8,45,None,Koeppen-B,Arid,Desert,2.6,19.9,N,Winter,6746723,87909498.54,9
aus_56,2/25/2024,Australia,Sydney,29.6,17,2.9,137,None,Koeppen-A,Arid,Desert,30.5,8.3,S,Winter,1857508,54735886.61,1
aus_57,2/26/2024,Australia,Sydney,25.1,91,67.2,335,Heatwave,Koeppen-D,Arid,Grassland,29.7,8.9,W,Winter,9164179,86419387.63,7
aus_58,2/27/2024,Australia,Sydney,11.2,41,181.4,84,None,Koeppen-C,Arid,Forest,13.2,8,E,Winter,2097118,96683505.39,9
aus_59,2/28/2024,Australia,Sydney,-7,78,36.3,245,None,Koeppen-D,Arid,Grassland,-3.1,16.1,W,Winter,9548963,79964452.21,1
aus_60,2/29/2024,Australia,Sydney,27.6,50,116.7,369,Drought,Koeppen-C,Arid,Tundra,30.1,13.6,SW,Winter,5712698,71410658.87,6
aus_61,3/1/2024,Australia,Sydney,15.3,57,113.5,17,Flood,Koeppen-B,Arid,Grassland,18.2,11.2,SE,Spring,4768363,46655215.79,4
aus_62,3/2/2024,Australia,Sydney,3.4,64,85.3,93,None,Koeppen-D,Arid,Wetland,6.6,13.5,NW,Spring,1519087,79893699.46,9
aus_63,3/3/2024,Australia,Sydney,8.5,11,138.2,189,None,Koeppen-D,Arid,Grassland,9.1,33,S,Spring,3663563,22401535.02,1
aus_64,3/4/2024,Australia,Sydney,3.1,43,199.8,248,None,Koeppen-C,Arid,Wetland,5.2,18.5,SE,Spring,420967,43620109.25,5
aus_65,3/5/2024,Australia,Sydney,5.3,12,136.4,142,None,Koeppen-D,Arid,Wetland,5.9,0.1,E,Spring,9699767,23407224.55,5
aus_66,3/6/2024,Australia,Sydney,39.5,39,141.8,227,None,Koeppen-C,Arid,Desert,41.5,0.5,E,Spring,8356496,74586183.71,5
aus_67,3/7/2024,Australia,Sydney,26.6,57,2.8,291,None,Koeppen-A,Arid,Forest,29.5,10.6,E,Spring,1298985,54975005.84,2
aus_68,3/8/2024,Australia,Sydney,18.3,39,175.4,187,Drought,Koeppen-C,Arid,Grassland,20.2,28.2,E,Spring,7372356,25407856.41,8
aus_69,3/9/2024,Australia,Sydney,-9.1,87,21.8,63,None,Koeppen-D,Arid,Wetland,-4.7,28.3,S,Spring,9023387,24994039.73,8
aus_70,3/10/2024,Australia,Sydney,37,46,170.4,395,Flood,Koeppen-A,Arid,Desert,39.3,23.7,NW,Spring,9838545,36599529.07,6
aus_71,3/11/2024,Australia,Sydney,0.8,33,169.6,495,None,Koeppen-D,Arid,Forest,2.5,3,S,Spring,7746611,47336395.1,10
aus_72,3/12/2024,Australia,Sydney,14.8,89,129.3,231,None,Koeppen-C,Arid,Grassland,19.2,32.7,W,Spring,1435980,95462126.31,3
aus_73,3/13/2024,Australia,Sydney,3.6,24,82.9,445,None,Koeppen-B,Arid,Forest,4.8,14,W,Spring,3307699,89997260.07,1
aus_74,3/14/2024,Australia,Sydney,-6.3,24,137.5,28,None,Koeppen-D,Arid,Desert,-5.1,4.5,NE,Spring,8474410,39287623.97,10
aus_75,3/15/2024,Australia,Sydney,32.9,84,168,407,Drought,Koeppen-B,Arid,Grassland,37.1,9.7,W,Spring,1447138,98415639.47,6
aus_76,3/16/2024,Australia,Sydney,19.7,26,186.1,464,None,Koeppen-D,Arid,Grassland,21,7.3,W,Spring,1866381,34164951.33,3
aus_77,3/17/2024,Australia,Sydney,23.7,17,98.1,273,Heatwave,Koeppen-B,Arid,Forest,24.6,16.2,N,Spring,287526,42792712.26,1
aus_78,3/18/2024,Australia,Sydney,28,30,128.8,348,None,Koeppen-B,Arid,Grassland,29.5,10.1,N,Spring,8392189,8068423.44,8
aus_79,3/19/2024,Australia,Sydney,14.5,45,122.6,479,None,Koeppen-A,Arid,Forest,16.8,24.3,NE,Spring,1008631,23431979.03,6
aus_80,3/20/2024,Australia,Sydney,1.4,97,100.3,162,None,Koeppen-C,Arid,Tundra,6.2,30.6,E,Spring,7489875,85260382.8,1
aus_81,3/21/2024,Australia,Sydney,7.2,23,64.5,500,Drought,Koeppen-A,Arid,Grassland,8.3,12,W,Spring,1251298,64679904.22,3
aus_82,3/22/2024,Australia,Sydney,10.3,61,190.8,452,Flood,Koeppen-C,Arid,Tundra,13.4,31.4,SW,Spring,9843215,91786175.4,7
aus_83,3/23/2024,Australia,Sydney,29.2,75,150.7,359,None,Koeppen-C,Arid,Forest,33,12.1,E,Spring,3051615,22467573.08,6
aus_84,3/24/2024,Australia,Sydney,7.1,25,31.4,145,Hurricane,Koeppen-D,Arid,Wetland,8.3,17.1,NE,Spring,1924531,23292295.72,8
aus_85,3/25/2024,Australia,Sydney,-5.5,29,118.3,229,None,Koeppen-A,Arid,Forest,-4,18.7,N,Spring,3652444,85436445.4,8
aus_86,3/26/2024,Australia,Sydney,-8.4,83,136.6,436,None,Koeppen-D,Arid,Grassland,-4.2,3.8,N,Spring,1059606,51066911.8,8
aus_87,3/27/2024,Australia,Sydney,-1.2,62,118.3,376,None,Koeppen-A,Arid,Grassland,1.9,7.6,W,Spring,3238991,48850390.78,1
aus_88,3/28/2024,Australia,Sydney,3.6,10,49.8,427,Heatwave,Koeppen-C,Arid,Desert,4.1,3.8,S,Spring,8501727,29333685.12,5
aus_89,3/29/2024,Australia,Sydney,18.5,86,17.7,186,Heatwave,Koeppen-C,Arid,Grassland,22.8,8.6,SE,Spring,1913894,21192621.95,9
aus_90,3/30/2024,Australia,Sydney,18.7,88,101.8,211,None,Koeppen-B,Arid,Tundra,23.1,38.1,NE,Spring,1105169,22317230.67,3
aus_91,3/31/2024,Australia,Sydney,11.2,31,50.7,79,None,Koeppen-B,Arid,Desert,12.8,23.9,SW,Spring,3403467,81859505.26,1
aus_92,4/1/2024,Australia,Sydney,-9.6,45,32,206,None,Koeppen-D,Arid,Tundra,-7.3,27.3,W,Spring,5221920,24729445.03,8
aus_93,4/2/2024,Australia,Sydney,12.3,48,88.7,250,Flood,Koeppen-C,Arid,Grassland,14.7,34.1,N,Spring,5571284,10810019.67,3
aus_94,4/3/2024,Australia,Sydney,21.5,66,170,400,None,Koeppen-B,Arid,Desert,24.8,15.5,NW,Spring,7234042,78816800.77,3
aus_95,4/4/2024,Australia,Sydney,41.8,82,0.7,65,None,Koeppen-A,Arid,Grassland,45.9,23.6,N,Spring,6468123,48429504.44,3
aus_96,4/5/2024,Australia,Sydney,-1.6,57,133.1,224,None,Koeppen-C,Arid,Wetland,1.2,10.3,N,Spring,2826809,1388843.69,4
aus_97,4/6/2024,Australia,Sydney,1.4,59,95.3,327,None,Koeppen-A,Arid,Desert,4.3,1.3,W,Spring,1419287,38254966.31,3
aus_98,4/7/2024,Australia,Sydney,-8.2,54,133.9,316,None,Koeppen-A,Arid,Wetland,-5.5,26.8,E,Spring,6112030,22709362.39,6
aus_99,4/8/2024,Australia,Sydney,15,99,77.3,299,None,Koeppen-A,Arid,Grassland,19.9,9,SW,Spring,269459,84330842.23,3
aus_100,4/9/2024,Australia,Sydney,18.4,71,177.1,185,None,Koeppen-B,Arid,Desert,21.9,12.2,SW,Spring,8791432,26001877.25,3
aus_101,4/10/2024,Australia,Sydney,10.7,38,115.1,208,None,Koeppen-A,Arid,Grassland,12.6,30.1,W,Spring,5088149,91742530.34,5
aus_102,4/11/2024,Australia,Sydney,19.5,22,155.6,216,None,Koeppen-B,Arid,Tundra,20.6,30.9,W,Spring,1056414,48827896.18,5
aus_103,4/12/2024,Australia,Sydney,31.6,40,95.9,131,None,Koeppen-A,Arid,Desert,33.6,2.8,SW,Spring,7261209,94091819.59,9
aus_104,4/13/2024,Australia,Sydney,39.9,95,145.3,272,Flood,Koeppen-A,Arid,Tundra,44.6,32.4,E,Spring,4399144,93438802.5,9
aus_105,4/14/2024,Australia,Sydney,7.2,73,100.2,99,Heatwave,Koeppen-B,Arid,Forest,10.9,32.5,E,Spring,2650075,8987350.99,4
aus_106,4/15/2024,Australia,Sydney,24.2,90,85.3,75,None,Koeppen-D,Arid,Grassland,28.7,33.3,S,Spring,4486261,94826160.32,3
aus_107,4/16/2024,Australia,Sydney,26,49,184.6,173,Drought,Koeppen-D,Arid,Wetland,28.4,15.9,S,Spring,3775101,66174820.1,7
aus_108,4/17/2024,Australia,Sydney,6,27,6.4,137,None,Koeppen-C,Arid,Grassland,7.3,31,NE,Spring,527312,13298250.38,7
aus_109,4/18/2024,Australia,Sydney,-6.2,43,196.7,325,None,Koeppen-D,Arid,Desert,-4.1,38.7,NE,Spring,638536,20569610.46,1
aus_110,4/19/2024,Australia,Sydney,16.2,15,39,193,Flood,Koeppen-C,Arid,Grassland,16.9,5,NE,Spring,2392599,53044800.71,3
aus_111,4/20/2024,Australia,Sydney,25.1,62,185.3,238,Flood,Koeppen-A,Arid,Forest,28.2,1.8,W,Spring,8268732,81545239.91,9
aus_112,4/21/2024,Australia,Sydney,30.4,79,116.8,301,None,Koeppen-A,Arid,Grassland,34.4,33.6,SW,Spring,3301832,46323804.52,4
aus_113,4/22/2024,Australia,Sydney,22.2,99,62.1,147,None,Koeppen-A,Arid,Forest,27.1,13.7,N,Spring,2075676,30423963.42,8
aus_114,4/23/2024,Australia,Sydney,31.2,42,140.4,405,None,Koeppen-C,Arid,Grassland,33.3,35.8,SE,Spring,393367,1117367.83,2
aus_115,4/24/2024,Australia,Sydney,-2,44,13.1,191,None,Koeppen-A,Arid,Grassland,0.2,34.7,NW,Spring,6101655,22211687.77,1
aus_116,4/25/2024,Australia,Sydney,41.2,30,24.2,10,Drought,Koeppen-D,Arid,Desert,42.7,32.1,SE,Spring,5553682,92249699.18,3
aus_117,4/26/2024,Australia,Sydney,-2.8,18,192.3,203,Hurricane,Koeppen-A,Arid,Tundra,-1.9,15.8,NE,Spring,5173752,76651596.4,3
aus_118,4/27/2024,Australia,Sydney,-1.7,17,44.5,249,None,Koeppen-D,Arid,Desert,-0.8,19.1,SE,Spring,4102683,67172735.96,5
aus_119,4/28/2024,Australia,Sydney,2.4,35,125.5,115,None,Koeppen-C,Arid,Desert,4.2,15.9,NW,Spring,4998929,80824160.06,10
aus_120,4/29/2024,Australia,Sydney,23.4,46,188.6,221,None,Koeppen-D,Arid,Grassland,25.7,16.8,W,Spring,4183219,35627624.6,9
aus_121,4/30/2024,Australia,Sydney,35.5,80,42.4,296,None,Koeppen-D,Arid,Grassland,39.5,28.2,NW,Spring,1377562,77069343.67,6
aus_122,5/1/2024,Australia,Sydney,3.6,65,11.1,482,Flood,Koeppen-B,Arid,Forest,6.8,37.2,S,Spring,1461280,22074937.3,8
aus_123,5/2/2024,Australia,Sydney,34.8,27,14.7,75,None,Koeppen-A,Arid,Desert,36.1,26,E,Spring,5125326,25487298.2,10
aus_124,5/3/2024,Australia,Sydney,-4.9,14,151.4,270,None,Koeppen-A,Arid,Desert,-4.2,9.2,SE,Spring,9302828,39348157.57,5
